/local/S.Rasp/NWPW-VHR-10/positive-image-set/001.jpg,563,478,630,573,airplane
/local/S.Rasp/NWPW-VHR-10/positive-image-set/002.jpg,575,114,635,162,airplane
/local/S.Rasp/NWPW-VHR-10/positive-image-set/002.jpg,72,305,133,369,airplane
/local/S.Rasp/NWPW-VHR-10/positive-image-set/002.jpg,210,317,273,384,airplane
/local/S.Rasp/NWPW-VHR-10/positive-image-set/002.jpg,306,374,344,420,airplane
/local/S.Rasp/NWPW-VHR-10/positive-image-set/002.jpg,447,531,535,632,airplane
/local/S.Rasp/NWPW-VHR-10/positive-image-set/002.jpg,546,605,625,707,airplane
/local/S.Rasp/NWPW-VHR-10/positive-image-set/002.jpg,632,680,720,790,airplane
/local/S.Rasp/NWPW-VHR-10/positive-image-set/004.jpg,227,106,268,155,airplane
/local/S.Rasp/NWPW-VHR-10/positive-image-set/004.jpg,318,126,370,185,airplane
/local/S.Rasp/NWPW-VHR-10/positive-image-set/004.jpg,445,88,516,168,airplane
/local/S.Rasp/NWPW-VHR-10/positive-image-set/004.jpg,363,336,438,420,airplane
/local/S.Rasp/NWPW-VHR-10/positive-image-set/004.jpg,455,331,529,415,airplane
/local/S.Rasp/NWPW-VHR-10/positive-image-set/004.jpg,68,316,170,411,airplane
/local/S.Rasp/NWPW-VHR-10/positive-image-set/004.jpg,69,423,180,525,airplane
/local/S.Rasp/NWPW-VHR-10/positive-image-set/005.jpg,401,596,443,636,airplane
/local/S.Rasp/NWPW-VHR-10/positive-image-set/005.jpg,606,138,668,199,airplane
/local/S.Rasp/NWPW-VHR-10/positive-image-set/006.jpg,135,412,182,472,airplane
/local/S.Rasp/NWPW-VHR-10/positive-image-set/006.jpg,295,420,347,470,airplane
/local/S.Rasp/NWPW-VHR-10/positive-image-set/006.jpg,369,363,415,419,airplane
/local/S.Rasp/NWPW-VHR-10/positive-image-set/006.jpg,444,320,534,432,airplane
/local/S.Rasp/NWPW-VHR-10/positive-image-set/006.jpg,608,171,704,255,airplane
/local/S.Rasp/NWPW-VHR-10/positive-image-set/006.jpg,656,62,754,157,airplane
/local/S.Rasp/NWPW-VHR-10/positive-image-set/006.jpg,317,555,386,627,airplane
/local/S.Rasp/NWPW-VHR-10/positive-image-set/006.jpg,479,695,542,769,airplane
/local/S.Rasp/NWPW-VHR-10/positive-image-set/008.jpg,208,361,272,418,airplane
/local/S.Rasp/NWPW-VHR-10/positive-image-set/008.jpg,234,429,289,481,airplane
/local/S.Rasp/NWPW-VHR-10/positive-image-set/008.jpg,322,473,376,540,airplane
/local/S.Rasp/NWPW-VHR-10/positive-image-set/008.jpg,313,631,384,697,airplane
