subject_id,project_id,workflow_id,subject_set_id,metadata,locations,classifications_count,retired_at,retirement_reason,created_at,updated_at
26976345,7699,,60713,"{""fn"":""/project/meteo/work/S.Rasp/cloud-classification/examples/flower/Aqua_CorrectedReflectance20090122_-61--40_10-24.jpeg"",""id"":""0""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/5753d078-38b8-4d70-b13a-793f82276d79.jpeg""}",0,,,2018-10-24 16:42:28 UTC,2018-10-24 16:42:28 UTC
26976346,7699,,60713,"{""fn"":""/project/meteo/work/S.Rasp/cloud-classification/examples/flower/Aqua_CorrectedReflectance20090216_-61--40_10-24.jpeg"",""id"":""1""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/9112e63b-7fff-4f2d-ab6a-19581001ac37.jpeg""}",0,,,2018-10-24 16:42:29 UTC,2018-10-24 16:42:29 UTC
26976347,7699,,60713,"{""fn"":""/project/meteo/work/S.Rasp/cloud-classification/examples/flower/Aqua_CorrectedReflectance20100107_-61--40_10-24.jpeg"",""id"":""2""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/6906ce7b-c092-4000-a43f-5b679e0443f8.jpeg""}",0,,,2018-10-24 16:42:31 UTC,2018-10-24 16:42:31 UTC
26976348,7699,,60713,"{""fn"":""/project/meteo/work/S.Rasp/cloud-classification/examples/flower/Aqua_CorrectedReflectance20100112_-61--40_10-24.jpeg"",""id"":""3""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/10e610db-6bb4-4470-8083-1fa1bca95325.jpeg""}",0,,,2018-10-24 16:42:32 UTC,2018-10-24 16:42:32 UTC
26976349,7699,,60713,"{""fn"":""/project/meteo/work/S.Rasp/cloud-classification/examples/flower/Aqua_CorrectedReflectance20100201_-61--40_10-24.jpeg"",""id"":""4""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/6b6558ff-c120-4162-ad80-23e3f4a82493.jpeg""}",0,,,2018-10-24 16:42:33 UTC,2018-10-24 16:42:33 UTC
26976350,7699,,60713,"{""fn"":""/project/meteo/work/S.Rasp/cloud-classification/examples/flower/Aqua_CorrectedReflectance20100217_-61--40_10-24.jpeg"",""id"":""5""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/538910f8-6bcc-499d-8acc-299abf511cda.jpeg""}",0,,,2018-10-24 16:42:35 UTC,2018-10-24 16:42:35 UTC
26976351,7699,,60713,"{""fn"":""/project/meteo/work/S.Rasp/cloud-classification/examples/flower/Aqua_CorrectedReflectance20100218_-61--40_10-24.jpeg"",""id"":""6""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/8e4f0807-3216-4d0b-8f4e-5102ef1fbc2b.jpeg""}",0,,,2018-10-24 16:42:36 UTC,2018-10-24 16:42:36 UTC
26976352,7699,,60713,"{""fn"":""/project/meteo/work/S.Rasp/cloud-classification/examples/flower/Aqua_CorrectedReflectance20110213_-61--40_10-24.jpeg"",""id"":""7""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/65cf0632-9a21-4064-a858-1b413ccdc3a8.jpeg""}",0,,,2018-10-24 16:42:38 UTC,2018-10-24 16:42:38 UTC
26976353,7699,,60713,"{""fn"":""/project/meteo/work/S.Rasp/cloud-classification/examples/flower/Aqua_CorrectedReflectance20110214_-61--40_10-24.jpeg"",""id"":""8""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/71e760ed-0151-466b-ae28-f18b89a18f7e.jpeg""}",0,,,2018-10-24 16:42:39 UTC,2018-10-24 16:42:39 UTC
26976354,7699,,60721,"{""fn"":""/project/meteo/work/S.Rasp/cloud-classification/examples/fish/Aqua_CorrectedReflectance20080120_-61--40_10-24.jpeg"",""id"":""0""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/4f5efebb-d277-4eb4-9439-b00f4aa7ed14.jpeg""}",0,,,2018-10-24 16:44:58 UTC,2018-10-24 16:44:58 UTC
